emoji_man-swimming_1f3ca,				# 🏊‍♂️
emoji_woman-swimming_1f3ca,				# 🏊‍♀️
emoji_person-bouncing-ball_26f9,			# ⛹
emoji_man-bouncing-ball_26f9,				# ⛹️‍♂️
emoji_woman-bouncing-ball_26f9,				# ⛹️‍♀️
emoji_person-lifting-weights_1f3cb,			# 🏋
emoji_man-lifting-weights_1f3cb,			# 🏋️‍♂️
emoji_woman-lifting-weights_1f3cb,			# 🏋️‍♀️
emoji_person-biking_1f6b4,				# 🚴
emoji_man-biking_1f6b4,					# 🚴‍♂️
emoji_woman-biking_1f6b4,				# 🚴‍♀️
emoji_person-mountain-biking_1f6b5,			# 🚵
emoji_man-mountain-biking_1f6b5,			# 🚵‍♂️
emoji_woman-mountain-biking_1f6b5,			# 🚵‍♀️
emoji_person-cartwheeling_1f938,			# 🤸
emoji_man-cartwheeling_1f938,				# 🤸‍♂️
emoji_woman-cartwheeling_1f938,				# 🤸‍♀️
emoji_people-wrestling_1f93c,				# 🤼
emoji_men-wrestling_1f93c,				# 🤼‍♂️
emoji_women-wrestling_1f93c,				# 🤼‍♀️
emoji_person-playing-water-polo_1f93d,			# 🤽
emoji_man-playing-water-polo_1f93d,			# 🤽‍♂️
emoji_woman-playing-water-polo_1f93d,			# 🤽‍♀️
emoji_person-playing-handball_1f93e,			# 🤾
emoji_man-playing-handball_1f93e,			# 🤾‍♂️
emoji_woman-playing-handball_1f93e,			# 🤾‍♀️
emoji_person-juggling_1f939,				# 🤹
emoji_man-juggling_1f939,				# 🤹‍♂️
emoji_woman-juggling_1f939,				# 🤹‍♀️
emoji_person-in-lotus-position_1f9d8,			# 🧘
emoji_man-in-lotus-position_1f9d8,			# 🧘‍♂️
emoji_woman-in-lotus-position_1f9d8,			# 🧘‍♀️
emoji_person-taking-bath_1f6c0,				# 🛀
emoji_person-in-bed_1f6cc,				# 🛌
emoji_people-holding-hands_1f9d1,			# 🧑‍🤝‍🧑
emoji_women-holding-hands_1f46d,			# 👭
emoji_woman-and-man-holding-hands_1f46b,		# 👫
emoji_men-holding-hands_1f46c,				# 👬
emoji_kiss_1f48f,					# 💏
emoji_kiss-woman-man_1f469,				# 👩‍❤️‍💋‍👨
emoji_kiss-man-man_1f468,				# 👨‍❤️‍💋‍👨
emoji_kiss-woman-woman_1f469,				# 👩‍❤️‍💋‍👩
emoji_couple-with-heart_1f491,				# 💑
emoji_couple-with-heart-woman-man_1f469,		# 👩‍❤️‍👨
emoji_couple-with-heart-man-man_1f468,			# 👨‍❤️‍👨
emoji_couple-with-heart-woman-woman_1f469,		# 👩‍❤️‍👩
emoji_family-man-woman-boy_1f468,			# 👨‍👩‍👦
emoji_family-man-woman-girl_1f468,			# 👨‍👩‍👧
emoji_family-man-woman-girl-boy_1f468,			# 👨‍👩‍👧‍👦
emoji_family-man-woman-boy-boy_1f468,			# 👨‍👩‍👦‍👦
emoji_family-man-woman-girl-girl_1f468,			# 👨‍👩‍👧‍👧
emoji_family-man-man-boy_1f468,				# 👨‍👨‍👦
emoji_family-man-man-girl_1f468,			# 👨‍👨‍👧
emoji_family-man-man-girl-boy_1f468,			# 👨‍👨‍👧‍👦
emoji_family-man-man-boy-boy_1f468,			# 👨‍👨‍👦‍👦
emoji_family-man-man-girl-girl_1f468,			# 👨‍👨‍👧‍👧
emoji_family-woman-woman-boy_1f469,			# 👩‍👩‍👦
emoji_family-woman-woman-girl_1f469,			# 👩‍👩‍👧
emoji_family-woman-woman-girl-boy_1f469,		# 👩‍👩‍👧‍👦
emoji_family-woman-woman-boy-boy_1f469,			# 👩‍👩‍👦‍👦
emoji_family-woman-woman-girl-girl_1f469,		# 👩‍👩‍👧‍👧
emoji_family-man-boy_1f468,				# 👨‍👦
emoji_family-man-boy-boy_1f468,				# 👨‍👦‍👦
emoji_family-man-girl_1f468,				# 👨‍👧
emoji_family-man-girl-boy_1f468,			# 👨‍👧‍👦
emoji_family-man-girl-girl_1f468,			# 👨‍👧‍👧
emoji_family-woman-boy_1f469,				# 👩‍👦
emoji_family-woman-boy-boy_1f469,			# 👩‍👦‍👦
emoji_family-woman-girl_1f469,				# 👩‍👧
emoji_family-woman-girl-boy_1f469,			# 👩‍👧‍👦
emoji_family-woman-girl-girl_1f469,			# 👩‍👧‍👧
